"lnm_rate","treated","state","year"
-7.62773132324219,0,"Georgia",1939
-12.1819181442261,1,"Georgia",1940
-7.62541341781616,0,"Georgia",1940
-12.7675046920776,1,"Georgia",1941
-7.71196699142456,0,"Georgia",1941
-14.2817010879517,1,"Georgia",1942
-7.8101282119751,0,"Georgia",1942
-13.0389556884766,1,"Georgia",1943
-7.79268407821655,0,"Georgia",1943
-9.99826526641846,1,"Idaho",1926
-7.8010401725769,0,"Idaho",1926
-10.5120801925659,1,"Idaho",1927
-7.75523948669434,0,"Idaho",1927
-10.5150604248047,1,"Idaho",1928
-7.76352500915527,0,"Idaho",1928
-11.6166439056396,1,"Idaho",1929
-7.89095067977905,0,"Idaho",1929
-10.2333126068115,1,"Idaho",1930
-8.00195503234863,0,"Idaho",1930
-10.4587335586548,1,"Idaho",1931
-7.99324512481689,0,"Idaho",1931
-10.5562467575073,1,"Idaho",1932
-8.07134056091309,0,"Idaho",1932
-11.9597120285034,1,"Idaho",1933
-7.96457433700562,0,"Idaho",1933
-10.4361486434937,1,"Idaho",1934
-8.08477306365967,0,"Idaho",1934
-9.62607002258301,1,"Idaho",1935
-8.28778553009033,0,"Idaho",1935
-9.13784408569336,1,"Idaho",1936
-8.32064437866211,0,"Idaho",1936
-10.7263078689575,1,"Idaho",1937
-8.46076393127441,0,"Idaho",1937
-12.0414037704468,1,"Idaho",1938
-8.44866847991943,0,"Idaho",1938
-12.4624357223511,1,"Idaho",1939
-8.56046295166016,0,"Idaho",1939
-11.0914697647095,1,"Idaho",1940
-8.61703491210938,0,"Idaho",1940
-12.489839553833,1,"Idaho",1941
-8.58786678314209,0,"Idaho",1941
-13.194917678833,1,"Idaho",1942
-8.74057102203369,0,"Idaho",1942
-11.5972709655762,1,"Idaho",1943
-8.67410945892334,0,"Idaho",1943
-10.1384553909302,1,"Illinois",1925
-7.15045928955078,0,"Illinois",1925
-10.3093023300171,1,"Illinois",1926
-7.1738076210022,0,"Illinois",1926
-10.6425533294678,1,"Illinois",1927
-7.1896505355835,0,"Illinois",1927
-10.7112588882446,1,"Illinois",1928
-7.20816135406494,0,"Illinois",1928
-10.1024599075317,1,"Illinois",1929
-7.26543474197388,0,"Illinois",1929
-10.1143426895142,1,"Illinois",1930
-7.36591100692749,0,"Illinois",1930
-9.96799278259277,1,"Illinois",1931
-7.36871337890625,0,"Illinois",1931
-10.2789840698242,1,"Illinois",1932
-7.48833084106445,0,"Illinois",1932
-10.2345209121704,1,"Illinois",1933
-7.51760530471802,0,"Illinois",1933
-10.1320304870605,1,"Illinois",1934
-7.5351300239563,0,"Illinois",1934
-9.84955310821533,1,"Illinois",1935
-7.55455732345581,0,"Illinois",1935
-10.3970060348511,1,"Illinois",1936
-7.56132411956787,0,"Illinois",1936
-10.7790803909302,1,"Illinois",1937
-7.57753133773804,0,"Illinois",1937
-10.9418973922729,1,"Illinois",1938
-7.66190624237061,0,"Illinois",1938
-11.6032342910767,1,"Illinois",1939
-7.68346357345581,0,"Illinois",1939
-11.6493101119995,1,"Illinois",1940
-7.68230485916138,0,"Illinois",1940
-12.1323308944702,1,"Illinois",1941
-7.71798324584961,0,"Illinois",1941
-12.2926263809204,1,"Illinois",1942
-7.79071664810181,0,"Illinois",1942
-12.617621421814,1,"Illinois",1943
-7.79793691635132,0,"Illinois",1943
-10.2505350112915,1,"Indiana",1925
-7.10038995742798,0,"Indiana",1925
-10.3367023468018,1,"Indiana",1926
-7.09009552001953,0,"Indiana",1926
-10.4398756027222,1,"Indiana",1927
-7.19736814498901,0,"Indiana",1927
-10.6276044845581,1,"Indiana",1928
-7.21179628372192,0,"Indiana",1928
-10.2188882827759,1,"Indiana",1929
-7.203688621521,0,"Indiana",1929
-10.5961723327637,1,"Indiana",1930
-7.28851747512817,0,"Indiana",1930
-10.1212348937988,1,"Indiana",1931
-7.37621784210205,0,"Indiana",1931
-10.4804210662842,1,"Indiana",1932
-7.40381050109863,0,"Indiana",1932
-10.4436063766479,1,"Indiana",1933
-7.4620361328125,0,"Indiana",1933
-10.1773834228516,1,"Indiana",1934
-7.520348072052,0,"Indiana",1934
-10.2235536575317,1,"Indiana",1935
-7.58923006057739,0,"Indiana",1935
-10.1729612350464,1,"Indiana",1936
-7.58074235916138,0,"Indiana",1936
-10.3392581939697,1,"Indiana",1937
-7.60227298736572,0,"Indiana",1937
-10.7321252822876,1,"Indiana",1938
-7.78839731216431,0,"Indiana",1938
-11.1297197341919,1,"Indiana",1939
-7.78898048400879,0,"Indiana",1939
-11.3837032318115,1,"Indiana",1940
-7.81887674331665,0,"Indiana",1940
-11.9264574050903,1,"Indiana",1941
-7.85113382339478,0,"Indiana",1941
-12.4373693466187,1,"Indiana",1942
-7.92103004455566,0,"Indiana",1942
-12.1462554931641,1,"Indiana",1943
-7.96219873428345,0,"Indiana",1943
-10.8146553039551,1,"Iowa",1925
-7.78087997436523,0,"Iowa",1925
-10.8805751800537,1,"Iowa",1926
-7.88701963424683,0,"Iowa",1926
-10.9983787536621,1,"Iowa",1927
-7.94001531600952,0,"Iowa",1927
-10.7073440551758,1,"Iowa",1928
-7.96944141387939,0,"Iowa",1928
-10.6569538116455,1,"Iowa",1929
-8.00687408447266,0,"Iowa",1929
-10.5006008148193,1,"Iowa",1930
-8.00836849212646,0,"Iowa",1930
-10.8310098648071,1,"Iowa",1931
-8.09743785858154,0,"Iowa",1931
-11.1701955795288,1,"Iowa",1932
