id,time,earnings,age,agesq,school,ethblack,urban,regne,regnc,regw,regs,asvabc
785,0,7.616507053,23,529,12,0,1,0,1,0,0,46.25
787,0,6.188412666,18,324,12,0,1,0,1,0,0,39.5
788,0,12.3387413,21,441,16,0,1,0,1,0,0,51
789,0,2.856190205,20,400,12,0,1,0,1,0,0,48.75
800,0,9.04460144,19,361,12,0,1,0,1,0,0,45.5
805,0,7.921167374,22,484,12,0,1,0,1,0,0,43.25
806,0,19.0412674,18,324,12,0,1,0,1,0,0,38.75
814,0,8.454322815,21,441,12,0,1,0,1,0,0,44.5
834,0,6.664442062,20,400,12,1,1,0,1,0,0,38.75
837,0,11.93887424,22,484,12,1,1,0,1,0,0,40.5
839,0,23.07801247,20,400,12,1,1,0,1,0,0,33.75
851,0,11.90079212,20,400,12,0,1,0,1,0,0,53.25
853,0,10.75831699,21,441,12,0,1,0,1,0,0,62.75
855,0,6.62635994,21,441,12,0,1,0,1,0,0,56.25
856,0,8.77802372,19,361,13,0,0,0,0,0,1,58.75
859,0,7.806919098,19,361,12,0,1,0,1,0,0,42.25
863,0,7.311846256,20,400,12,0,1,0,1,0,0,50.5
865,0,18.3748188,20,400,12,0,1,0,1,0,0,53.75
869,0,6.911980629,18,324,12,0,1,0,1,0,0,53.25
872,0,9.349261284,19,361,12,0,1,0,1,0,0,56
888,0,8.47336483,21,441,12,0,1,0,1,0,0,43.25
891,0,11.42476082,19,361,12,0,1,0,1,0,0,53.5
893,0,7.673631191,20,400,12,0,1,0,1,0,0,47
899,0,4.227161407,22,484,15,0,1,0,1,0,0,61
912,0,5.483884811,22,484,16,0,1,0,1,0,0,61.5
919,0,6.664442062,20,400,12,0,1,0,1,0,0,50
922,0,9.996664047,19,361,12,0,1,0,1,0,0,52.25
923,0,7.902123928,18,324,12,0,1,0,1,0,0,39
925,0,16.4706974,22,484,16,0,1,0,1,0,0,60
927,0,15.5567112,23,529,14,0,1,0,1,0,0,62.5
935,0,10.94872952,21,441,12,0,1,0,1,0,0,48.5
941,0,9.825291634,21,441,13,0,1,0,1,0,0,49
943,0,8.568570137,21,441,13,0,1,0,1,0,0,43
947,0,17.13714027,22,484,13,0,1,0,1,0,0,59.75
955,0,11.42476082,21,441,12,0,1,0,1,0,0,50.75
962,0,7.140475273,18,324,12,0,1,0,1,0,0,54
965,0,8.892271996,22,484,12,0,1,0,1,0,0,40
968,0,7.311846256,19,361,12,0,1,0,1,0,0,52.5
969,0,7.502257824,21,441,12,0,1,0,1,0,0,53.5
970,0,25.38200188,20,400,12,0,1,0,1,0,0,54.5
979,0,7.616507053,20,400,12,0,1,0,1,0,0,48.5
981,0,7.997331142,19,361,12,0,1,0,1,0,0,42.25
985,0,6.797730923,21,441,12,0,1,0,1,0,0,55
990,0,9.520633698,20,400,12,0,1,0,1,0,0,55
996,0,8.568570137,19,361,12,0,0,0,1,0,0,43
998,0,5.959917545,22,484,12,0,1,0,1,0,0,62.5
1001,0,7.426095009,20,400,12,1,0,0,1,0,0,35.5
1007,0,9.520633698,22,484,12,0,1,0,1,0,0,56
1008,0,7.426095009,21,441,12,0,1,0,0,1,0,45.5
1016,0,7.140475273,19,361,12,0,1,0,1,0,0,45.5
1045,0,7.616507053,21,441,12,0,1,0,1,0,0,53.75
1060,0,10.75831699,20,400,12,0,1,0,1,0,0,48.5
1061,0,13.32888412,21,441,12,0,1,0,1,0,0,58.5
1062,0,8.568570137,21,441,12,0,0,0,1,0,0,59.75
1063,0,6.569237232,19,361,12,0,1,0,1,0,0,52.25
1065,0,8.073497772,21,441,12,0,1,0,1,0,0,55.75
1073,0,4.569904327,21,441,13,1,1,0,0,0,1,37
1083,0,6.093205452,20,400,13,0,1,0,0,0,1,57.5
1084,0,9.520633698,23,529,9,0,1,0,0,0,1,39.5
1085,0,9.73008728,19,361,12,0,1,0,0,0,1,52.5
1089,0,7.616507053,17,289,8,0,0,0,0,0,1,31.25
1091,0,6.283617973,22,484,10,0,0,0,0,0,1,50.25
1094,0,10.47269821,21,441,12,0,0,0,0,0,1,48
1096,0,8.758982658,22,484,11,0,1,0,0,0,1,39
1107,0,10.47269821,23,529,12,0,1,0,0,0,1,53
1111,0,12.66243935,23,529,12,0,1,0,0,0,1,53
1137,0,9.520633698,21,441,13,0,1,0,0,0,1,56
1140,0,3.789212227,21,441,16,0,1,0,0,0,1,54
1143,0,6.759650707,20,400,14,0,0,0,0,0,1,58
1146,0,5.236349106,18,324,12,0,1,0,0,0,1,37.5
1147,0,5.902792454,18,324,12,0,1,0,0,0,1,53.75
1156,0,8.225827217,22,484,12,1,1,0,0,0,1,53.25
1158,0,8.321032524,19,361,14,1,1,0,0,0,1,40.25
1169,0,13.27176189,21,441,12,0,1,0,0,0,1,55.25
1170,0,6.702526093,18,324,12,0,1,0,0,0,1,47
1172,0,8.092538834,20,400,12,0,1,0,0,0,1,55
1180,0,9.139808655,21,441,13,0,1,0,0,0,1,41.5
1182,0,5.902792454,21,441,16,0,1,0,0,0,1,61.25
1184,0,17.28947067,22,484,16,0,1,0,0,0,1,61.75
1190,0,6.740609169,20,400,12,1,1,0,0,0,1,40
1204,0,8.77802372,18,324,8,0,1,0,0,0,1,31.25
1207,0,6.188412666,20,400,13,1,1,0,0,0,1,40.75
1210,0,5.617174149,19,361,8,1,1,0,0,0,1,30
1225,0,7.616507053,22,484,8,0,1,0,0,0,1,30.25
1232,0,8.568570137,22,484,11,0,1,0,0,0,1,58.25
1245,0,8.378157616,19,361,12,0,0,0,0,0,1,41
1264,0,5.902792454,19,361,12,0,1,0,0,0,1,56.75
1272,0,10.96776962,20,400,12,0,1,0,0,0,1,48.25
1275,0,4.817440987,21,441,10,0,1,0,0,0,1,30.5
1278,0,4.760316849,19,361,12,0,1,0,0,0,1,40.75
1279,0,12.85285664,21,441,15,0,1,0,0,0,1,58.25
1311,0,8.321032524,22,484,16,0,1,0,0,0,1,52.75
1313,0,2.875230312,18,324,12,1,1,0,0,0,1,29.5
1316,0,7.616507053,18,324,9,0,0,0,0,0,1,45
1318,0,6.188412666,22,484,8,0,0,0,0,0,1,45
1320,0,8.4352808,22,484,13,0,0,0,0,0,1,63.75
1327,0,6.283617973,18,324,12,0,0,0,0,0,1,51
1328,0,6.664442062,18,324,11,0,1,0,0,0,1,35.5
1334,0,17.34659004,21,441,12,0,0,0,0,0,1,57.25
1335,0,7.178557873,19,361,12,0,0,0,0,0,1,41.75
1337,0,8.701858521,22,484,8,0,0,0,0,0,1,36.5
1342,0,8.282950401,20,400,9,0,0,0,0,0,1,31
1343,0,5.712380409,18,324,9,0,0,0,0,0,1,45
1345,0,8.606653214,21,441,12,0,1,0,0,0,1,54.75
1352,0,6.074163914,21,441,12,0,1,0,0,0,1,47.25
1357,0,8.911314011,23,529,12,0,1,0,0,0,1,34.25
1359,0,8.359114647,22,484,14,0,1,0,0,0,1,54
1360,0,7.007186413,23,529,12,0,1,0,0,0,1,48.5
1366,0,8.873229027,21,441,12,0,1,0,0,0,1,48.25
1369,0,6.664442062,19,361,12,0,1,0,0,0,1,51.25
1371,0,8.568570137,19,361,12,0,1,0,0,0,1,44.75
1392,0,6.950063705,22,484,7,0,0,0,0,0,1,31
1393,0,8.568570137,21,441,12,0,0,0,0,0,1,55.25
1394,0,7.311846256,20,400,12,0,0,0,0,0,1,56
